Stock Code,Stock Name
00246,REALGOLD MINING
00247,TST PROPERTIES
00248,HKC INT'L HOLD
00250,SINO-I TECH
00251,SEA HOLDINGS
00252,SE ASIA PPT
00253,SHUNHO HOLDINGS
00254,NUR HOLDINGS
00255,LUNG KEE
00256,CITYCHAMP
00257,CHINA EB INT'L
00258,TOMSON GROUP
00259,YEEBO (INT'L H)
00260,AVIC JOY HLDG
00261,GBA INV HLDGS
00262,DESON DEV INT'L
00263,GT GROUP HLDG
00264,ASCENT INT'L
00265,ORIENT VICTORY
00266,TIAN TECK LAND
00267,CITIC
00268,KINGDEE INT'L
00269,CRTG
00270,GUANGDONG INV
00271,ASIASEC PPT
00272,SHUI ON LAND
00273,MASON GP HOLD
00274,C BILLION RES
00275,MASTER GLORY GP
00276,MONGOLIA ENERGY
00277,TERN PROPERTIES
00278,WAH HA REALTY
00279,FREEMAN FINTECH
00280,KING FOOK HOLD
00281,RIVERA (HOLD)
00282,NEXT DIGITAL
00285,BYD ELECTRONIC
00286,CS HEALTH
00287,WINFAIR INV
00288,WH GROUP
00289,WING ON CO
00290,C FORTUNE FIN
00291,CHINA RES BEER
00292,ASIA STD HOTEL
00293,CATHAY PAC AIR
00294,YANGTZEKIANG
00295,KONG SUN HOLD
00296,EMPEROR E HOTEL
00297,SINOFERT
00298,CHUANG'S CHINA
00299,GLORY SUN LAND
00302,CMGE
00303,VTECH HOLDINGS
00305,WULING MOTORS
00306,KWOON CHUNG BUS
00307,UP ENERGY DEV
00308,CHINA TRAVEL HK
00309,XH NEWS MEDIA
00310,PROSP INV HOLD
00311,LUEN THAI
00312,SHIRBLE STORE
00313,RICHLY FIELD
00315,SMARTONE TELE
00316,OOIL
00317,COMEC
00318,VONGROUP
00320,COMPUTIME
00321,TEXWINCA HOLD
00322,TINGYI
00323,MAANSHAN IRON
00326,CHINA STAR ENT
00327,PAX GLOBAL
00328,ALCO HOLDINGS
00329,OCI INTL
00330,ESPRIT HOLDINGS
00331,FSE SERVICES
00332,YUANHENG GAS
00333,TOP FORM INT'L
00334,CH DISPLAY OPT
00335,UPBEST GROUP
00336,HUABAO INTL
00337,GREENLAND HK
00338,SHANGHAI PECHEM
00339,CORE ECON INV
00340,TONGGUAN GOLD
00341,CAFE DE CORAL H
00342,NEWOCEAN ENERGY
00343,CULTURECOM HOLD
00345,VITASOY INT'L
00346,YANCHANG PETRO
00347,ANGANG STEEL
00348,CHINAHEALTHWISE
00351,ASIA ENERGY LOG
00352,FORTUNE SUN
00353,ENERGY INTINV
00354,CHINASOFT INT'L
00355,CENTURY C INT'L
00356,DT CAPITAL
00357,REGAL GROUP
00358,JIANGXI COPPER
00359,HAISHENG JUICE
00360,NEW FOCUS AUTO
00361,SINO GOLF HOLD
00362,XINYANG MAOJIAN
00363,SHANGHAI IND H
00364,BLOCKCHAIN GP
00365,UNIS HOLDINGS
00366,LUKS GROUP (VN)
00367,CHUANG'S INT'L
00369,WING TAI PPT
00370,CHINA BEST
00371,BJ ENT WATER
00372,PT INTL DEV
00373,ALLIED GROUP
00374,FOUR SEAS MER
00375,YGM TRADING
00376,YUNFENG FIN
00377,HUAJUN INTL GP
